work_wikidata_id,work_name,work_type,release_or_first_broadcast_date,imdb_id,tmdb_movie_id,tmdb_tv_id,wikidata_work_url
Q27728970,Under the Greenwood Tree,television film,2006-04-23,tt0465653,18091,,https://www.wikidata.org/wiki/Q27728970
Q6739035,Make Me a Tory,television film,2007-01-01,tt0993771,,,https://www.wikidata.org/wiki/Q6739035
Q7309897,Reichenbach Falls,television film,2007-01-01,tt0862641,54802,,https://www.wikidata.org/wiki/Q7309897
Q7602575,Starting Over,television film,2007-01-01,tt1152390,197878,,https://www.wikidata.org/wiki/Q7602575
Q5054216,Catwalk Dogs,television film,2007-10-21,tt1062242,285699,,https://www.wikidata.org/wiki/Q5054216
Q1436102,Mrs McGinty’s Dead,television episode,2008-01-01,tt0772597,,,https://www.wikidata.org/wiki/Q1436102
Q2421373,Third Girl,television episode,2008-01-01,tt0981210,,,https://www.wikidata.org/wiki/Q2421373
Q1068911,花豹少女隊：勇闖好萊塢,television film,2008-08-22,tt1013542,27621,,https://www.wikidata.org/wiki/Q1068911
Q7005280,New Allegiances,television series episode,2008-10-27,tt1203862,,,https://www.wikidata.org/wiki/Q7005280
Q7711878,第三十九級台階,television film,2008-12-28,tt1282016,16877,,https://www.wikidata.org/wiki/Q7711878
Q17507216,當哈維遇見鮑勃,television film,2010-01-01,tt1692945,76187,,https://www.wikidata.org/wiki/Q17507216
Q3830195,裸體列儂,television film,2010-01-01,tt1560164,42484,,https://www.wikidata.org/wiki/Q3830195
Q27748904,The Channel Islands at War,miniseries,2010-06-28,tt1943508,,196187,https://www.wikidata.org/wiki/Q27748904
Q4027892,+100500,television series,2011-01-01,tt4958826,,,https://www.wikidata.org/wiki/Q4027892
Q7756057,天堂一刻,television series,2012-01-01,tt2391224,,59674,https://www.wikidata.org/wiki/Q7756057
Q17426162,开放日,television film,2012-01-01,tt2371315,153021,,https://www.wikidata.org/wiki/Q17426162
Q5522376,骨頭花園,television series episode,2012-04-22,tt2069319,,,https://www.wikidata.org/wiki/Q5522376
Q4707487,Alan Partridge: Welcome to the Places of My Life,television program,2012-06-25,tt2227372,455644,,https://www.wikidata.org/wiki/Q4707487
Q6396897,Kevin McCloud's Man Made Home,television series,2012-09-23,tt2429484,,65788,https://www.wikidata.org/wiki/Q6396897
Q1573859,天使攻佔曼哈頓,television series episode,2012-09-29,tt2378951,,,https://www.wikidata.org/wiki/Q1573859
Q247643,基本演绎法,television series,2013-01-10,tt2191671,,1415,https://www.wikidata.org/wiki/Q247643
Q19057748,London: Part 1,television series episode,2013-09-26,tt2909126,,,https://www.wikidata.org/wiki/Q19057748
Q15129848,荒郊疑云,television series,2013-10-29,tt2575968,,60605,https://www.wikidata.org/wiki/Q15129848
Q15581476,三人征兆,television film,2014-01-05,tt2781042,,,https://www.wikidata.org/wiki/Q15581476
Q121775325,35 Diwrnod,television program,2014-03-23,tt3919200,,61925,https://www.wikidata.org/wiki/Q121775325
Q52161430,Hinterland,television series,2014-04-28,,,,https://www.wikidata.org/wiki/Q52161430
Q20746214,"The Great British Bake Off, series 6",television season,2015-08-05,,,,https://www.wikidata.org/wiki/Q20746214
Q28443685,"The Great British Bake Off, series 7",television season,2016-08-24,,,,https://www.wikidata.org/wiki/Q28443685
Q28114440,The Holy Trinity,television series episode,2016-11-18,tt5715192,,,https://www.wikidata.org/wiki/Q28114440
Q17021920,禁忌 (電視短劇),television series,2017-01-07,tt3647998,,65708,https://www.wikidata.org/wiki/Q17021920
Q28530979,[censored] to [censored],television series episode,2017-01-27,tt6068854,,,https://www.wikidata.org/wiki/Q28530979
Q53722967,vDud,web series,2017-02-07,tt8948264,,,https://www.wikidata.org/wiki/Q53722967
Q30606729,查尔斯三世,television film,2017-05-10,tt6253522,456187,,https://www.wikidata.org/wiki/Q30606729
Q28443753,倫敦神探,television series,2017-08-27,tt4276618,,72748,https://www.wikidata.org/wiki/Q28443753
Q45423599,"Past, Present or Future",television series episode,2017-12-08,tt6068862,,,https://www.wikidata.org/wiki/Q45423599
Q46403381,The Falls Guys,television series episode,2017-12-15,tt6068864,,,https://www.wikidata.org/wiki/Q46403381
Q46405175,Bah humbug-atti,television series episode,2017-12-22,tt6068866,,,https://www.wikidata.org/wiki/Q46405175
Q39049904,追殺夏娃,television series,2018-04-08,tt7016936,,72750,https://www.wikidata.org/wiki/Q39049904
Q59654709,威尔森夫人,television series,2018-11-27,tt6859806,,78969,https://www.wikidata.org/wiki/Q59654709
Q60774416,告密者,miniseries,2019-01-11,tt7161312,,83059,https://www.wikidata.org/wiki/Q60774416
Q55632932,性愛自修室,television series,2019-01-11,tt7767422,,81356,https://www.wikidata.org/wiki/Q55632932
Q64481618,碎片,television series episode,2019-06-05,tt8758202,,,https://www.wikidata.org/wiki/Q64481618
Q84224774,罪惡,television series,2019-10-24,tt9644058,,94853,https://www.wikidata.org/wiki/Q84224774
Q55608702,亞瑟王傳說：詛咒,television series,2020-01-01,tt8210856,,83125,https://www.wikidata.org/wiki/Q55608702
Q81791900,死水难收,television series,2020-01-10,tt9704568,,95442,https://www.wikidata.org/wiki/Q81791900
Q84358761,鬧鬼的迪奧達蒂別墅,television series episode,2020-02-16,tt9361038,,,https://www.wikidata.org/wiki/Q84358761
Q56277874,金魔,television series,2020-04-17,tt7939218,,99741,https://www.wikidata.org/wiki/Q56277874
Q88532913,披头士乐队：回归,television series,2021-11-01,tt9735318,,128876,https://www.wikidata.org/wiki/Q88532913
Q110207138,哈利·波特20周年：重返霍格沃兹,television film,2022-01-01,tt16116174,899082,,https://www.wikidata.org/wiki/Q110207138
Q114032081,The Sound of Her Wings,television series episode,2022-08-05,tt10573626,,,https://www.wikidata.org/wiki/Q114032081
Q119129456,Aldhani,television series episode,2022-09-28,tt13847542,,,https://www.wikidata.org/wiki/Q119129456
Q119129459,Announcement,television series episode,2022-10-19,tt13847652,,,https://www.wikidata.org/wiki/Q119129459
Q111360692,夏洛特王后：柏捷頓家族前傳,miniseries,2023-05-04,tt14661396,,196454,https://www.wikidata.org/wiki/Q111360692
Q119082600,在海的另一边,television series episode,2023-06-15,tt27731623,,,https://www.wikidata.org/wiki/Q119082600
Q119082603,恶魔 79,television series episode,2023-06-15,tt27731671,,,https://www.wikidata.org/wiki/Q119082603
Q124004080,神秘博士：红宝石路教堂,television series episode,2023-12-25,tt28289422,,,https://www.wikidata.org/wiki/Q124004080
Q124820629,"Taskmaster, series 17",television season,2024-03-28,,,,https://www.wikidata.org/wiki/Q124820629
Q125881931,The Devil's Chord,television series episode,2024-05-11,tt28306434,,,https://www.wikidata.org/wiki/Q125881931
Q127254988,Under High Pressure: Investigation Into the Ryanair System,television film,2024-05-15,tt32474521,1296485,,https://www.wikidata.org/wiki/Q127254988
Q125918935,73碼,television series episode,2024-05-25,tt28704625,,,https://www.wikidata.org/wiki/Q125918935
Q125918937,Dot and Bubble,television series episode,2024-06-01,tt28718575,,,https://www.wikidata.org/wiki/Q125918937
Q125918939,Rogue,television series episode,2024-06-08,tt28764089,,,https://www.wikidata.org/wiki/Q125918939
Q136849363,Death: The High Cost of Living,television series episode,2025-07-31,tt35879457,,,https://www.wikidata.org/wiki/Q136849363
Q137833390,僱傭騎士,television series episode,2026-01-18,tt27497823,,,https://www.wikidata.org/wiki/Q137833390
Q137833391,硬鹹牛肉,television series episode,2026-01-25,tt32314131,,,https://www.wikidata.org/wiki/Q137833391
Q137833392,鄉紳,television series episode,2026-02-01,tt32314197,,,https://www.wikidata.org/wiki/Q137833392
Q137833393,Seven,television series episode,2026-02-06,tt32314201,,,https://www.wikidata.org/wiki/Q137833393
Q137833394,In the Name of the Mother,television series episode,2026-02-15,tt32314204,,,https://www.wikidata.org/wiki/Q137833394
Q137833395,The Morrow,television series episode,2026-02-22,tt32314212,,,https://www.wikidata.org/wiki/Q137833395
Q138762717,Crookhaven: The School for Thieves,television program,2026-03-22,,,,https://www.wikidata.org/wiki/Q138762717
Q4631870,24 Hours in A&E,television series,,tt2674484,,39706,https://www.wikidata.org/wiki/Q4631870
Q110652727,3 體,television series,,tt13016388,,108545,https://www.wikidata.org/wiki/Q110652727
Q117705975,A Kind of Spark,television series,,tt21149774,,223116,https://www.wikidata.org/wiki/Q117705975
Q96371323,A Question of Europe,television program,,tt5805286,,,https://www.wikidata.org/wiki/Q96371323
Q117075282,After the Flood,television series,,tt26745417,,241097,https://www.wikidata.org/wiki/Q117075282
Q15618496,Benefits Street,television series,,tt3406870,,155293,https://www.wikidata.org/wiki/Q15618496
Q4926623,Blind Young Things,television series episode,,tt1049474,,,https://www.wikidata.org/wiki/Q4926623
Q19871429,Boy Meets Girl,television series,,tt5000634,,63851,https://www.wikidata.org/wiki/Q19871429
Q16552671,"Broadchurch, season 1",television season,,,,,https://www.wikidata.org/wiki/Q16552671
Q97105980,Charity Shop Sue,web series,,tt11685208,,158660,https://www.wikidata.org/wiki/Q97105980
Q5133662,Climbing Great Buildings,television series,,tt1711385,,34007,https://www.wikidata.org/wiki/Q5133662
Q58326265,Clodagh’s Irish Food Trails,television series,,,,,https://www.wikidata.org/wiki/Q58326265
Q100258242,Confessions of a Fashionista,television series,,tt19838606,,209425,https://www.wikidata.org/wiki/Q100258242
Q136105997,Counsels,television series,,tt38091032,,,https://www.wikidata.org/wiki/Q136105997
Q30636436,Culinary Genius,television series,,,,,https://www.wikidata.org/wiki/Q30636436
Q84302586,"Dancing on Ice, series 12",television season,,,,,https://www.wikidata.org/wiki/Q84302586
Q5216214,Dani's House,television series,,tt1198825,,7970,https://www.wikidata.org/wiki/Q5216214
Q104842747,Dear Ladies,television series,,tt0085004,,26267,https://www.wikidata.org/wiki/Q104842747
Q124466034,Department Q,television series,,tt27995114,,245703,https://www.wikidata.org/wiki/Q124466034
Q5282710,Disraeli,television series,,tt0078601,266337,13603,https://www.wikidata.org/wiki/Q5282710
Q2644879,Dynamo: Magician Impossible,television series,,tt1999525,,40058,https://www.wikidata.org/wiki/Q2644879
Q23824552,England in General and Particular,television film,,tt4553876,,128333,https://www.wikidata.org/wiki/Q23824552
Q137997037,Episode 7,television series episode,,tt38991523,,,https://www.wikidata.org/wiki/Q137997037
Q5441332,Feel the Force,television series,,tt0768188,,2534,https://www.wikidata.org/wiki/Q5441332
Q55611750,Flack,television series,,tt8128344,,86632,https://www.wikidata.org/wiki/Q55611750
Q107022144,GPs: Behind Closed Doors,television series,,tt3713810,,85867,https://www.wikidata.org/wiki/Q107022144
Q4184778,Garrow的法律,television series,,tt1477131,,31325,https://www.wikidata.org/wiki/Q4184778
Q63438775,Ghosts,television series,,tt8594324,,17174,https://www.wikidata.org/wiki/Q63438775
Q1856630,Hi-de-Hi!,television series,,tt0123349,,2695,https://www.wikidata.org/wiki/Q1856630
Q110933665,Hope Street,television series,,tt14354984,,139492,https://www.wikidata.org/wiki/Q110933665
Q2034796,Howards' Way,television series,,tt0134250,,1492,https://www.wikidata.org/wiki/Q2034796
Q111640372,Hullraisers,television series,,tt15056674,,196845,https://www.wikidata.org/wiki/Q111640372
Q107144063,Inside the Vets,television series,,tt11854784,,81096,https://www.wikidata.org/wiki/Q107144063
Q126617755,Joelle Without Filter,television program,,,,,https://www.wikidata.org/wiki/Q126617755
Q1587491,Lark Rise to Candleford,television series,,tt1077744,,6998,https://www.wikidata.org/wiki/Q1587491
Q117717007,Late Night Lycett,television series,,tt26687060,,222653,https://www.wikidata.org/wiki/Q117717007
Q3549856,Life of Riley,television series,,tt1356374,,16419,https://www.wikidata.org/wiki/Q3549856
Q105104294,Lightning,television series,,tt11824466,,244886,https://www.wikidata.org/wiki/Q105104294
Q6675264,Looking After Jo Jo,television series,,tt0137315,,14146,https://www.wikidata.org/wiki/Q6675264
Q139661504,Lost and Found in the Lakes,television series,,tt35306660,,279408,https://www.wikidata.org/wiki/Q139661504
Q131913727,Mannat – Har Khushi Paane Ki,television series,,tt35294424,,281761,https://www.wikidata.org/wiki/Q131913727
Q6827950,Micawber,television series,,tt0303496,,13598,https://www.wikidata.org/wiki/Q6827950
Q132853337,Murder Before Evensong,television series,,tt34579520,,280571,https://www.wikidata.org/wiki/Q132853337
Q16257990,My Transsexual Summer,television series,,tt4042714,,,https://www.wikidata.org/wiki/Q16257990
Q136386899,NFL Big Game Night,television series,,tt38590409,,,https://www.wikidata.org/wiki/Q136386899
Q106644627,Newton's Cradle,television series,,tt11703922,,121487,https://www.wikidata.org/wiki/Q106644627
Q124335254,Others,television series,,tt29141868,,242779,https://www.wikidata.org/wiki/Q124335254
Q58238452,"Outlander, season 4",television season,,,,,https://www.wikidata.org/wiki/Q58238452
Q125305426,Outlander: Blood of My Blood,television series,,tt18332852,,207484,https://www.wikidata.org/wiki/Q125305426
Q60608206,Paddington Station 24/7,television series,,tt7487386,,73737,https://www.wikidata.org/wiki/Q60608206
Q590031,Paradox,television series,,tt1460746,,18588,https://www.wikidata.org/wiki/Q590031
Q125627115,Patience,television series,,tt31495377,,279603,https://www.wikidata.org/wiki/Q125627115
Q7152779,Paul O'Grady: For the Love of Dogs,television series,,tt2373856,,64886,https://www.wikidata.org/wiki/Q7152779
Q7234664,Potamus Park,television series,,tt0813855,,,https://www.wikidata.org/wiki/Q7234664
Q4255926,Pramface,television series,,tt2239949,,44733,https://www.wikidata.org/wiki/Q4255926
Q124544741,Prime Target,television series,,tt31186958,,246381,https://www.wikidata.org/wiki/Q124544741
Q136523955,Prisoner 951,television series,,tt38267331,,,https://www.wikidata.org/wiki/Q136523955
Q98744252,Professor T.,television series,,tt11981644,,126660,https://www.wikidata.org/wiki/Q98744252
Q123038243,Protection,television series,,tt28698590,,263236,https://www.wikidata.org/wiki/Q123038243
Q131612110,Q131612110,television series,,tt35329516,,283033,https://www.wikidata.org/wiki/Q131612110
Q134877613,Q134877613,television series,,tt38504111,,312693,https://www.wikidata.org/wiki/Q134877613
Q16935557,Q16935557,television series,,tt2980110,,62470,https://www.wikidata.org/wiki/Q16935557
Q109659920,"Queen of the Universe, season 1",television season,,,,,https://www.wikidata.org/wiki/Q109659920
Q126193106,Reunion,television series,,tt29768339,,254628,https://www.wikidata.org/wiki/Q126193106
Q65091388,RuPaul's Drag Race UK,television program,,tt9780442,,92611,https://www.wikidata.org/wiki/Q65091388
Q70650334,"RuPaul's Drag Race UK, series 1",television season,,,,,https://www.wikidata.org/wiki/Q70650334
Q104213051,"RuPaul's Drag Race UK, series 2",television season,,,,,https://www.wikidata.org/wiki/Q104213051
Q108132988,"RuPaul's Drag Race UK, series 3",television season,,,,,https://www.wikidata.org/wiki/Q108132988
Q113680503,"RuPaul's Drag Race UK, series 4",television season,,,,,https://www.wikidata.org/wiki/Q113680503
Q122145817,"RuPaul's Drag Race UK, series 5",television season,,,,,https://www.wikidata.org/wiki/Q122145817
Q55011701,Running Wild,television series,,tt0046640,,36696,https://www.wikidata.org/wiki/Q55011701
Q106153037,SAS: Rogue Heroes,television series,,tt10405370,,93870,https://www.wikidata.org/wiki/Q106153037
Q21715203,Salvage Hunters,television series,,tt2223298,,45303,https://www.wikidata.org/wiki/Q21715203
Q118288796,Scam Interceptors,television series,,tt19359688,,201292,https://www.wikidata.org/wiki/Q118288796
Q127609533,Seven Dials Mystery,television series,,tt31974288,,250505,https://www.wikidata.org/wiki/Q127609533
Q26834084,Shackleton: Death or Glory,television series,,tt3742938,,134960,https://www.wikidata.org/wiki/Q26834084
Q7602068,Starlight,television series,,,,,https://www.wikidata.org/wiki/Q7602068
Q111845570,Starstruck,television series,,tt10801368,,93288,https://www.wikidata.org/wiki/Q111845570
Q7623647,"Strictly Come Dancing, series 03",television season,,,,,https://www.wikidata.org/wiki/Q7623647
Q7623646,"Strictly Come Dancing, series 2",television season,,,,,https://www.wikidata.org/wiki/Q7623646
Q127797065,"Strictly Come Dancing, series 22",television season,,,,,https://www.wikidata.org/wiki/Q127797065
Q135447367,"Strictly Come Dancing, series 23",television season,,,,,https://www.wikidata.org/wiki/Q135447367
Q17022528,Suspects,television series,,tt3149010,,61448,https://www.wikidata.org/wiki/Q17022528
Q122766550,"Taskmaster, series 15",television season,,,,,https://www.wikidata.org/wiki/Q122766550
Q122766556,"Taskmaster, series 16",television season,,,,,https://www.wikidata.org/wiki/Q122766556
Q126198955,"Taskmaster, series 18",television season,,,,,https://www.wikidata.org/wiki/Q126198955
Q133818369,"Taskmaster, series 19",television season,,,,,https://www.wikidata.org/wiki/Q133818369
Q135209963,"Taskmaster, series 20",television season,,,,,https://www.wikidata.org/wiki/Q135209963
Q138749503,"Taskmaster, series 21",television season,,,,,https://www.wikidata.org/wiki/Q138749503
Q139825542,"Taskmaster, series 22",television season,,,,,https://www.wikidata.org/wiki/Q139825542
Q7699920,Tenko,television series,,tt0081944,,2775,https://www.wikidata.org/wiki/Q7699920
Q85806317,The Accident,miniseries,,tt9145372,,94755,https://www.wikidata.org/wiki/Q85806317
Q16992630,The Game,television series,,tt3159736,,61831,https://www.wikidata.org/wiki/Q16992630
Q109536378,The Long Call,television series,,tt13610872,,136397,https://www.wikidata.org/wiki/Q109536378
Q56612613,The Mighty Redcar,television series,,,,,https://www.wikidata.org/wiki/Q56612613
Q7751929,"The Mole, season 1",television season,,,,,https://www.wikidata.org/wiki/Q7751929
Q7754983,The Omega Factor,television series,,tt0078665,,1853,https://www.wikidata.org/wiki/Q7754983
Q108372670,The Power,television series,,tt10369484,,95558,https://www.wikidata.org/wiki/Q108372670
Q136555225,The Ridge,television series,,tt30984541,,285246,https://www.wikidata.org/wiki/Q136555225
Q60793979,The Secret Life of the Zoo,television series,,tt8343762,,65686,https://www.wikidata.org/wiki/Q60793979
Q111941813,"The Thief, His Wife and the Canoe",miniseries,,tt14183410,,196412,https://www.wikidata.org/wiki/Q111941813
Q115728642,The Traitors,television series,,tt23743442,,215307,https://www.wikidata.org/wiki/Q115728642
Q126737135,"The Traitors, season 3",television season,,,,,https://www.wikidata.org/wiki/Q126737135
Q1106528,The World seen from the train,television series,,,,322071,https://www.wikidata.org/wiki/Q1106528
Q13775204,The Wright Way,television series,,tt2649480,,47587,https://www.wikidata.org/wiki/Q13775204
Q112406063,The Yorkshire Vet,television series,,tt5016662,,100973,https://www.wikidata.org/wiki/Q112406063
Q7805126,"Time Team, series 1",television season,,,,,https://www.wikidata.org/wiki/Q7805126
Q7805140,"Time Team, series 2",television season,,,,,https://www.wikidata.org/wiki/Q7805140
Q116780924,Transformation Street,miniseries,,tt7859318,,83338,https://www.wikidata.org/wiki/Q116780924
Q124331638,Tree on a Hill,television series,,tt29902630,,247810,https://www.wikidata.org/wiki/Q124331638
Q15109327,Tudor Monastery Farm,television series,,tt4103600,,69433,https://www.wikidata.org/wiki/Q15109327
Q100921885,Us,miniseries,,tt10669608,,110232,https://www.wikidata.org/wiki/Q100921885
Q124691463,Vanderpump Villa,television series,,tt27999118,,245263,https://www.wikidata.org/wiki/Q124691463
Q15732968,W1A,television series,,tt3610926,,62479,https://www.wikidata.org/wiki/Q15732968
Q14920502,What Remains,television series,,tt2649588,,57857,https://www.wikidata.org/wiki/Q14920502
Q3025482,Win My Wage,television program,,tt1071195,,,https://www.wikidata.org/wiki/Q3025482
Q8029058,Wogan,television series,,tt0083504,,20477,https://www.wikidata.org/wiki/Q8029058
Q123740753,Wolf Hall: The Mirror and the Light,television series,,tt30088743,,,https://www.wikidata.org/wiki/Q123740753
Q126194054,Young Sherlock,television series,,tt8599532,,255661,https://www.wikidata.org/wiki/Q126194054
Q10863838,一切从失踪开始,television series,,,,109961,https://www.wikidata.org/wiki/Q10863838
Q120277524,七王国的骑士,television series,,tt27497448,,224372,https://www.wikidata.org/wiki/Q120277524
Q137832009,七王國的騎士第一季,television season,,,,,https://www.wikidata.org/wiki/Q137832009
Q137834485,七王國的騎士第二季,television season,,,,,https://www.wikidata.org/wiki/Q137834485
Q3272370,下班,television series,,tt0243183,,12334,https://www.wikidata.org/wiki/Q3272370
Q21062051,与敌为伴,miniseries,,tt4696944,,64685,https://www.wikidata.org/wiki/Q21062051
Q65051955,世界之战,television series,,tt9686194,,86374,https://www.wikidata.org/wiki/Q65051955
Q978011,中间人,television series,,tt1220617,,7317,https://www.wikidata.org/wiki/Q978011
Q5240237,乌托邦,television series,,tt2384811,,46511,https://www.wikidata.org/wiki/Q5240237
Q124829706,乌鸦女孩,television series,,tt30063915,,248698,https://www.wikidata.org/wiki/Q124829706
Q14955420,亚特兰蒂斯,television series,,tt2705602,,47054,https://www.wikidata.org/wiki/Q14955420
Q100324103,他們的人生,television series,,tt10122020,,110833,https://www.wikidata.org/wiki/Q100324103
Q28859711,代班,television series,,tt6410708,,70514,https://www.wikidata.org/wiki/Q28859711
Q795330,仰望夜空,television series,,tt0262990,,9873,https://www.wikidata.org/wiki/Q795330
Q1113852,伴我双飞,television series,,tt1749004,,34604,https://www.wikidata.org/wiki/Q1113852
Q104161310,侍僧 (電視劇),television series,,tt12262202,,114479,https://www.wikidata.org/wiki/Q104161310
Q27062250,傑克萊恩,television series,,tt5057054,,73375,https://www.wikidata.org/wiki/Q27062250
Q208048,兄弟连,miniseries,,tt0185906,,4613,https://www.wikidata.org/wiki/Q208048
Q107233698,克拉克森的农场,television series,,tt10541088,,117648,https://www.wikidata.org/wiki/Q107233698
Q629439,克蘭福鎮,television series,,tt0974077,,14264,https://www.wikidata.org/wiki/Q629439
Q96392399,兩極警探,television series,,tt10720914,,99962,https://www.wikidata.org/wiki/Q96392399
Q87192600,八十天环游地球,television series,,tt9174578,,96228,https://www.wikidata.org/wiki/Q87192600
